baseline,scenario,seed,verdict,favorable,throughput_change_pct,system_time_improvement_pct,completed_a,completed_b,report_json,summary_csv,incomplete_a_csv,incomplete_b_csv
"largo_120","demanda_media","950893","improvement",true,155.76496674057648,37.83962975481657,902,2307,"data/runs/largo_120/demanda_media/seed_950893/ab_report.json","data/runs/largo_120/demanda_media/seed_950893/ab_summary.csv","data/runs/largo_120/demanda_media/seed_950893/incomplete_trips_A.csv","data/runs/largo_120/demanda_media/seed_950893/incomplete_trips_B.csv"
"largo_120","demanda_media","974616","improvement",true,28.39080459770115,4.913182614096073,1740,2234,"data/runs/largo_120/demanda_media/seed_974616/ab_report.json","data/runs/largo_120/demanda_media/seed_974616/ab_summary.csv","data/runs/largo_120/demanda_media/seed_974616/incomplete_trips_A.csv","data/runs/largo_120/demanda_media/seed_974616/incomplete_trips_B.csv"
"largo_120","demanda_saturada","157300","improvement",true,25.064201335387775,-7.146864426094426,1947,2435,"data/runs/largo_120/demanda_saturada/seed_157300/ab_report.json","data/runs/largo_120/demanda_saturada/seed_157300/ab_summary.csv","data/runs/largo_120/demanda_saturada/seed_157300/incomplete_trips_A.csv","data/runs/largo_120/demanda_saturada/seed_157300/incomplete_trips_B.csv"
"largo_120","demanda_saturada","214181","improvement",true,25.336787564766837,-7.520563008577084,1930,2419,"data/runs/largo_120/demanda_saturada/seed_214181/ab_report.json","data/runs/largo_120/demanda_saturada/seed_214181/ab_summary.csv","data/runs/largo_120/demanda_saturada/seed_214181/incomplete_trips_A.csv","data/runs/largo_120/demanda_saturada/seed_214181/incomplete_trips_B.csv"
"largo_120","demanda_saturada","281772","improvement",true,17.456776352481874,-14.881156537247907,1793,2106,"data/runs/largo_120/demanda_saturada/seed_281772/ab_report.json","data/runs/largo_120/demanda_saturada/seed_281772/ab_summary.csv","data/runs/largo_120/demanda_saturada/seed_281772/incomplete_trips_A.csv","data/runs/largo_120/demanda_saturada/seed_281772/incomplete_trips_B.csv"
"largo_120","demanda_saturada","372292","misleading_improvement",false,-41.53204794163627,-14.860131027165401,1919,1122,"data/runs/largo_120/demanda_saturada/seed_372292/ab_report.json","data/runs/largo_120/demanda_saturada/seed_372292/ab_summary.csv","data/runs/largo_120/demanda_saturada/seed_372292/incomplete_trips_A.csv","data/runs/largo_120/demanda_saturada/seed_372292/incomplete_trips_B.csv"
"largo_120","demanda_saturada","400290","misleading_improvement",false,-45.13574660633484,-11.389952114796367,1768,970,"data/runs/largo_120/demanda_saturada/seed_400290/ab_report.json","data/runs/largo_120/demanda_saturada/seed_400290/ab_summary.csv","data/runs/largo_120/demanda_saturada/seed_400290/incomplete_trips_A.csv","data/runs/largo_120/demanda_saturada/seed_400290/incomplete_trips_B.csv"
"largo_120","demanda_saturada","423459","misleading_regression",true,104.10509031198687,12.831820271202021,1218,2486,"data/runs/largo_120/demanda_saturada/seed_423459/ab_report.json","data/runs/largo_120/demanda_saturada/seed_423459/ab_summary.csv","data/runs/largo_120/demanda_saturada/seed_423459/incomplete_trips_A.csv","data/runs/largo_120/demanda_saturada/seed_423459/incomplete_trips_B.csv"
"largo_120","demanda_saturada","449463","improvement",true,28.43399251737039,-3.4593434885217764,1871,2403,"data/runs/largo_120/demanda_saturada/seed_449463/ab_report.json","data/runs/largo_120/demanda_saturada/seed_449463/ab_summary.csv","data/runs/largo_120/demanda_saturada/seed_449463/incomplete_trips_A.csv","data/runs/largo_120/demanda_saturada/seed_449463/incomplete_trips_B.csv"
"largo_120","demanda_saturada","843099","misleading_regression",true,332.77027027027026,-0.3308838292575192,592,2562,"data/runs/largo_120/demanda_saturada/seed_843099/ab_report.json","data/runs/largo_120/demanda_saturada/seed_843099/ab_summary.csv","data/runs/largo_120/demanda_saturada/seed_843099/incomplete_trips_A.csv","data/runs/largo_120/demanda_saturada/seed_843099/incomplete_trips_B.csv"
